label,EOA,PS1,3Rtau,4Rtau,TDP43A,TDP43C,DLB,LOA
1,-6.803703285666073,-4.962309622413972,-6.414343061867882,-6.145835570728077,-3.6495204301441415,-11.376898025765138,-3.442947779508198,-6.9371831925476295
2,-6.902457360426585,-5.151294101609124,-6.33597639269299,-6.2712419814533655,-4.054374739196565,-10.111869923273723,-2.688343894150522,-6.160199956099192
3,-6.414945409514686,-4.341053036364161,-3.699885526465487,-3.034537883901391,-4.389089597711503,-3.17601480254198,-2.6236576102384244,-2.4045569902715025
4,-5.370914884816609,-4.313214707080317,-4.021513099066892,-3.2320181544928013,-4.17933632395291,-3.5884248409779196,-2.2731746736645464,-2.171223084399132
5,-6.28295124211797,-5.121923180366004,-5.9446993243915065,-5.1718008247790515,-3.537846928117452,-10.757656928013873,-2.587958753005498,-5.521969437875129
6,-8.030868789585627,-6.4248933915114685,-6.522812610430963,-5.135129450375891,-4.55466523587485,-9.617756766450563,-3.1457429820585836,-6.531377774536271
7,-6.548536436728922,-6.135075685076134,-5.424335992025247,-3.7131420027548097,-3.5524424217325055,-5.421246963597061,-2.277646666397077,-4.987738334977964
8,-8.309102689736227,-4.9314029474626295,-4.170056927303614,-3.5662242544865213,-5.528877078814813,-5.324801326808731,-3.856715850012155,-3.3726425535542974
9,-3.135253818123069,-1.7312627536169896,-1.3269080946347385,-1.4253141021332034,-1.9253334188014655,-1.8773932162132865,-1.229055431425783,-1.142997658552484
10,-5.433398726983962,-4.272188967624667,-3.3225379022010504,-2.8036455486367378,-3.68089908846689,-2.7591845923286433,-1.8824593352189476,-2.050446526509673
11,-8.908982618202911,-5.413979675463769,-4.746145243382861,-4.243867430099567,-5.758222727007557,-5.619332230124666,-3.7100349919610593,-3.7057746707023185
12,-5.99835586064893,-3.420166585293776,-2.6577926112393766,-2.6645958139949677,-3.244836765740753,-2.8988518384672695,-1.833201639279114,-2.038334975334047
13,-7.418337261069168,-4.391394670076162,-7.322891751684032,-5.423942352961568,-4.681909666478055,-6.645665640825206,-1.9920821737461878,-2.427087464288456
14,-7.467730743063677,-4.595876751368604,-7.035989891503744,-5.626696236557574,-4.917801679962355,-6.104801185933,-2.005113923791706,-2.396489819900947
15,-5.943472643312879,-3.355387981065516,-5.168606007019265,-4.145076327667006,-2.938937561716694,-6.483895404326815,-2.0526124947193276,-2.6017226332803944
16,-4.479122185190105,-3.0199601859559455,-4.364898756404363,-3.7219908214001407,-3.102358393920872,-3.960347446964382,-1.2399475001061242,-1.6610553868343534
17,-6.091339146576832,-3.5435849691795047,-6.23410788822781,-4.924554015464505,-5.328602109692725,-4.682250364870699,-1.6194653225822007,-1.4397413356375994
18,-6.075891789889923,-3.6261880824963253,-6.5357196412021015,-5.0655531561058575,-5.798945800971353,-3.976173978919784,-1.9776313308174862,-1.6882490542435058
19,-5.744142024725606,-3.511811934394662,-5.40964141983058,-4.71000116406619,-5.066038639654044,-3.3813165415659934,-1.7794026651315795,-1.2300221406905416
20,-4.1317130916629266,-2.453782041421315,-3.4905613428763034,-3.216053723915961,-3.3373888951039894,-2.522382607333774,-1.6974633346720414,-1.040346032866139
21,-8.32792536355555,-4.839765513502061,-8.161402114853264,-5.781238363496959,-3.9657215340062977,-13.234721787646412,-4.049373106658459,-6.770269562117756
22,-8.371107457926202,-5.258196643788955,-7.647130859143248,-5.948735730727448,-4.260556133027728,-12.365680177598016,-4.6281663454260284,-7.54175905902919
23,-8.013489828693704,-5.757531811664252,-4.9127428622923075,-4.126328172260763,-4.618246951922781,-6.181528887099706,-2.988247197591767,-4.220354545283515
24,-7.174425711405688,-4.143119692802429,-7.818303519281848,-5.777292369254704,-4.497800647698599,-7.937770115918126,-2.010593573530686,-2.4592000813512453
25,-6.522287083996667,-3.788655718167623,-7.781081559260686,-5.774561199876997,-5.094358846545219,-5.723619121313095,-1.803710864442918,-1.9588489349840934
26,-1.531181144824851,-0.878728113234985,-1.2047148679736361,-1.005694991339692,-0.7351946549718087,-1.6585663000031354,-0.7247984489505235,-0.8335988565607072
27,-0.6124542616840402,-0.3495200717661423,-0.5507698962388298,-0.522985250841441,-0.4241142159896004,-0.5947863151267847,-0.2522075613414677,-0.09263208076179147
28,-3.1099557772094197,-2.1834312971839513,-2.814653232005101,-2.577408314442406,-1.8975667873206576,-2.9359557184343457,-1.2833886813697384,-3.0801410547919303
